Age,Gender,Device_Type,Daily_Phone_Hours,Social_Media_Hours,Work_Productivity_Score,Sleep_Hours,Stress_Level,App_Usage_Count,Caffeine_Intake_Cups,Weekend_Screen_Time_Hours,Occupation_Business Owner,Occupation_Freelancer,Occupation_Professional,Occupation_Student
52,2,0,11.3,2.8,9,6.4,1,16,1,2.5,1,0,0,0
33,2,1,8.6,6.7,1,9.0,3,44,0,13.7,0,0,1,0
28,1,1,10.8,1.2,5,4.6,4,28,5,13.4,0,1,0,0
47,1,0,2.9,2.1,7,7.5,8,10,4,5.0,0,0,0,1
42,2,1,9.3,7.1,5,7.9,5,26,6,8.9,0,0,0,1
35,0,0,9.4,1.3,7,7.9,4,35,6,2.4,1,0,0,0
58,2,1,11.4,4.4,9,6.6,9,30,5,11.9,0,0,1,0
53,1,0,10.3,7.9,10,4.9,10,20,3,11.7,0,1,0,0
32,0,1,6.4,7.9,9,5.3,6,39,1,4.4,0,0,0,1
38,2,0,10.3,3.3,9,4.7,10,33,1,7.6,0,1,0,0
21,2,0,1.5,7.3,1,6.9,4,44,3,12.0,0,0,1,0
32,0,0,1.4,2.3,1,5.3,1,11,1,10.5,0,1,0,0
20,0,1,3.7,4.3,10,4.1,8,15,2,10.6,0,0,1,0
38,1,1,3.0,5.0,7,7.5,6,16,6,7.6,0,1,0,0
43,1,1,8.7,2.7,4,6.5,1,25,4,4.7,1,0,0,0
35,2,1,5.5,6.4,3,5.5,6,29,5,8.6,1,0,0,0
22,1,0,10.7,2.9,6,4.5,1,8,6,2.8,0,1,0,0
31,2,1,9.4,2.8,3,7.6,9,35,3,13.7,0,0,0,1
54,1,0,3.4,8.0,6,5.9,1,28,3,10.7,0,1,0,0
38,0,0,1.3,1.5,6,5.2,2,17,1,11.3,0,1,0,0
31,1,0,4.6,6.4,4,8.2,6,10,0,13.7,0,0,0,1
59,2,0,5.8,6.0,3,4.0,3,6,3,5.3,0,1,0,0
49,0,1,3.8,7.2,4,5.1,9,17,0,13.3,1,0,0,0
43,0,1,1.3,6.9,3,7.3,5,28,1,9.8,0,0,0,1
59,2,1,9.9,1.9,3,7.3,10,21,6,9.8,1,0,0,0
47,1,1,7.8,7.9,1,5.0,9,46,1,8.3,0,1,0,0
27,0,1,11.8,6.5,3,8.7,10,46,3,13.7,0,1,0,0
34,1,0,6.0,6.7,3,6.4,6,5,2,10.6,0,1,0,0
26,0,1,9.1,3.2,4,6.7,9,9,6,3.9,1,0,0,0
33,2,0,9.4,5.7,7,5.2,1,38,3,11.9,0,0,1,0
53,0,1,10.3,6.8,1,5.3,5,44,5,9.9,1,0,0,0
52,1,1,5.1,6.0,5,6.2,4,43,0,11.6,0,0,0,1
34,2,0,3.0,6.4,8,8.3,4,8,6,8.9,0,0,0,1
55,0,0,8.8,1.1,4,5.3,5,56,0,6.5,1,0,0,0
45,0,1,2.6,3.6,9,4.3,7,28,0,6.5,0,0,0,1
55,2,0,4.9,6.7,10,6.7,6,53,1,2.9,0,1,0,0
43,2,1,8.4,7.1,6,6.4,9,15,3,5.9,0,0,0,1
41,1,0,7.2,1.6,4,8.9,10,16,3,12.9,0,0,1,0
32,0,0,5.5,7.2,3,5.8,1,43,5,9.3,0,0,0,1
26,0,1,5.8,4.3,4,4.8,5,45,0,2.5,0,0,0,1
50,0,0,3.9,7.5,1,4.6,2,12,1,7.9,1,0,0,0
49,0,1,6.2,3.8,8,8.7,8,20,5,10.9,0,0,1,0
23,1,1,3.7,1.7,10,7.4,5,10,0,6.0,0,1,0,0
21,1,0,5.2,4.0,7,6.8,10,26,4,2.3,0,0,0,1
25,0,0,9.1,3.7,8,7.9,9,16,3,7.7,1,0,0,0
27,2,0,10.6,1.6,7,4.2,6,29,4,4.4,0,0,0,1
58,1,1,9.4,7.4,5,7.6,2,51,3,9.4,0,0,1,0
28,1,1,5.9,4.6,5,9.0,1,53,4,6.3,0,0,1,0
45,0,1,2.3,3.4,10,5.6,4,48,1,8.4,1,0,0,0
56,1,0,5.6,6.1,1,6.4,10,29,6,10.3,0,0,1,0
22,0,0,1.9,4.5,1,7.5,7,12,6,12.4,0,0,1,0
42,1,1,9.3,3.5,3,7.7,7,14,1,4.3,1,0,0,0
42,0,1,5.1,0.8,7,8.6,5,6,1,13.9,0,0,0,1
56,0,0,3.1,1.4,7,7.7,10,57,5,4.8,0,0,0,1
47,0,0,10.0,7.6,6,8.1,6,19,5,5.5,0,1,0,0
51,0,0,7.8,3.7,4,7.4,3,58,1,11.2,1,0,0,0
34,1,0,4.2,1.5,6,7.4,10,8,1,5.5,1,0,0,0
53,2,0,2.5,3.3,1,8.0,9,51,2,9.0,1,0,0,0
18,1,0,3.3,6.8,1,8.6,5,59,4,12.0,1,0,0,0
25,1,1,11.2,1.0,8,4.1,8,52,4,8.7,0,1,0,0
52,0,0,2.4,4.1,6,7.0,6,21,2,7.3,0,0,1,0
35,2,0,7.8,3.0,7,4.2,5,51,3,5.2,0,0,1,0
59,1,1,7.2,5.3,9,5.2,5,6,1,6.2,1,0,0,0
39,1,1,5.0,1.4,9,5.9,3,34,2,5.7,0,1,0,0
25,1,0,2.5,5.1,7,8.2,9,5,1,9.6,0,0,0,1
36,2,0,6.2,1.4,5,6.4,7,36,0,8.8,1,0,0,0
45,0,1,4.8,1.9,1,7.2,2,15,6,10.9,0,0,0,1
28,1,1,2.8,2.8,9,8.6,6,43,2,9.3,0,1,0,0
47,2,1,6.9,6.5,1,5.0,7,56,0,3.0,1,0,0,0
18,0,1,3.4,4.8,1,4.9,1,16,4,9.1,0,1,0,0
34,0,1,8.0,3.6,8,7.4,6,52,1,12.5,0,1,0,0
50,1,0,9.8,3.6,8,4.6,10,59,5,7.3,0,0,1,0
29,1,1,7.5,5.9,4,5.6,9,24,0,8.5,0,0,1,0
50,2,1,5.8,1.0,7,7.7,4,37,3,8.6,0,0,0,1
24,2,0,3.1,6.7,5,6.2,2,16,2,12.8,0,0,1,0
58,0,1,5.2,3.2,2,5.7,6,19,6,6.7,0,0,1,0
37,0,0,5.3,3.2,7,9.0,7,52,1,4.7,0,1,0,0
58,1,1,3.9,4.5,10,8.1,9,15,1,11.3,0,0,0,1
50,2,1,11.9,0.7,8,6.5,10,15,3,9.2,0,0,0,1
56,0,0,5.0,2.9,2,5.7,10,30,5,13.5,0,0,1,0
30,1,1,4.9,7.5,5,6.3,3,27,3,11.9,0,0,1,0
27,0,0,2.1,7.1,7,5.0,1,41,0,6.5,0,0,1,0
41,0,0,8.2,7.7,1,8.1,1,24,2,5.4,0,0,0,1
28,1,1,2.4,7.8,7,6.1,7,41,2,5.7,0,0,0,1
52,0,0,11.5,6.2,3,4.2,5,27,5,2.8,0,0,0,1
51,0,0,3.9,0.6,2,8.8,3,55,3,8.7,0,0,0,1
18,2,0,2.3,0.8,7,4.4,1,55,6,11.5,0,0,1,0
56,2,0,11.0,7.3,1,6.1,3,40,1,8.4,0,1,0,0
38,2,0,5.1,6.9,9,6.6,2,56,2,6.1,0,0,1,0
49,1,1,2.5,4.3,7,4.3,1,56,5,10.4,0,1,0,0
19,2,0,5.8,4.0,9,8.8,8,26,4,8.9,0,0,0,1
25,0,0,11.1,1.2,2,5.2,1,10,5,2.1,0,1,0,0
41,2,0,11.6,7.6,7,6.6,2,12,2,2.6,0,0,1,0
37,2,1,10.3,7.8,9,4.9,6,18,3,3.9,0,0,1,0
33,1,0,3.7,5.6,5,6.5,3,57,2,3.3,0,0,0,1
21,2,1,5.1,4.7,8,5.0,8,11,2,12.9,0,0,1,0
33,1,0,5.3,1.3,6,6.6,7,31,2,10.9,0,0,0,1
54,0,0,7.9,2.2,1,4.4,3,51,1,12.5,0,1,0,0
23,1,0,3.8,6.5,10,6.1,3,41,4,7.3,0,0,0,1
23,0,0,10.2,2.9,2,5.0,8,49,3,9.6,0,0,0,1
49,1,1,3.6,2.2,2,4.6,5,50,2,11.8,0,0,0,1
22,1,1,5.9,5.6,8,4.9,2,52,2,7.7,0,0,0,1
52,0,1,2.7,5.2,6,7.4,1,23,3,11.6,0,1,0,0
26,1,1,2.2,1.5,5,4.0,4,25,6,5.4,0,0,0,1
26,1,1,6.1,6.6,4,4.9,5,29,3,4.9,1,0,0,0
60,0,1,6.0,7.2,6,7.9,9,40,5,12.5,1,0,0,0
48,1,0,2.5,2.9,1,6.7,8,46,5,8.2,0,1,0,0
53,2,0,3.6,4.5,9,4.4,4,42,5,11.6,0,0,1,0
28,2,1,2.0,7.4,6,5.4,4,18,3,4.6,0,1,0,0
34,1,1,1.4,2.2,9,8.1,1,25,4,2.8,1,0,0,0
51,2,0,3.3,4.3,7,5.9,6,41,0,13.3,0,0,0,1
56,2,0,3.0,7.6,4,6.8,3,39,0,9.0,0,1,0,0
45,1,1,2.8,4.9,5,7.7,1,33,4,5.1,0,0,0,1
31,0,1,4.5,5.6,5,7.4,2,30,0,7.2,0,0,0,1
52,2,1,5.0,3.3,9,5.7,10,54,2,5.3,0,0,0,1
30,1,1,4.0,3.0,4,8.1,1,43,3,4.6,0,1,0,0
37,2,0,8.4,5.0,4,8.6,3,49,1,3.6,0,1,0,0
43,1,1,8.4,1.0,8,8.6,4,26,4,7.9,0,0,1,0
60,1,0,5.1,3.1,2,8.9,9,53,5,13.8,1,0,0,0
59,0,1,2.5,2.8,5,7.8,4,17,3,13.6,0,0,0,1
41,0,1,5.3,1.4,10,8.4,3,17,1,6.8,1,0,0,0
46,1,1,1.8,4.5,6,8.5,6,5,4,11.9,0,0,1,0
51,0,1,5.5,4.8,9,7.4,1,13,6,9.6,0,0,0,1
46,1,0,6.6,1.7,7,8.6,5,11,5,12.5,1,0,0,0
25,1,1,7.5,6.0,2,8.3,7,15,5,9.6,0,1,0,0
33,1,0,3.4,7.3,2,4.4,10,10,2,6.4,0,1,0,0
32,0,1,7.2,7.2,6,4.2,9,13,3,3.7,1,0,0,0
22,1,1,1.9,5.7,4,6.4,3,58,6,4.2,0,0,0,1
39,0,1,2.5,4.3,9,6.8,8,48,5,7.2,1,0,0,0
19,0,1,11.1,5.4,5,5.5,1,6,5,12.6,0,1,0,0
55,2,1,11.4,2.1,1,5.2,3,13,1,7.1,0,1,0,0
53,0,0,4.3,7.2,8,7.4,4,57,1,14.0,0,0,1,0
32,0,1,3.1,3.4,3,5.1,9,59,2,7.1,0,0,1,0
55,0,0,7.0,5.9,9,5.3,2,52,2,6.7,0,1,0,0
32,0,0,11.1,1.2,10,6.0,1,13,4,7.6,0,1,0,0
18,2,1,1.1,6.4,6,5.3,7,36,3,6.1,1,0,0,0
22,0,0,8.5,3.5,5,7.0,2,5,2,12.5,1,0,0,0
58,2,0,7.2,5.6,3,6.8,10,42,4,10.1,0,0,1,0
21,2,1,4.5,3.0,10,4.3,10,27,0,6.1,0,0,0,1
32,1,0,3.1,7.9,1,4.6,5,14,6,13.1,1,0,0,0
22,2,1,6.5,6.9,2,4.4,7,17,1,7.7,0,0,0,1
20,2,0,2.6,2.0,10,7.1,3,23,3,4.2,0,0,0,1
39,0,0,7.3,2.3,6,7.8,5,52,1,8.8,1,0,0,0
22,0,1,2.0,6.9,4,6.6,10,19,0,7.2,1,0,0,0
50,2,0,10.9,7.8,5,7.0,8,15,4,13.8,0,1,0,0
33,0,1,9.6,5.8,7,5.3,8,59,5,2.5,0,0,0,1
35,2,0,10.3,2.9,7,8.8,8,41,0,3.6,1,0,0,0
60,2,0,2.5,6.5,8,6.3,2,20,6,2.8,0,1,0,0
49,0,0,4.9,5.0,9,5.3,4,29,3,13.6,1,0,0,0
31,0,1,10.3,1.7,3,7.8,3,42,0,10.1,0,0,0,1
52,2,1,4.8,3.4,8,6.1,10,12,3,8.9,0,0,0,1
26,2,0,5.6,7.8,3,7.9,2,15,0,2.0,0,1,0,0
54,1,0,10.3,7.6,7,7.6,1,45,3,11.4,0,0,1,0
54,2,1,8.5,5.8,3,5.2,7,37,4,12.5,0,1,0,0
48,0,1,2.2,2.0,9,7.7,5,21,1,10.7,0,0,0,1
33,0,0,6.2,6.4,8,4.6,1,29,1,2.6,1,0,0,0
48,2,1,6.0,5.6,8,7.8,5,41,0,9.9,0,0,1,0
44,2,1,2.9,3.3,7,6.7,3,26,6,3.5,0,1,0,0
30,1,1,10.1,0.9,1,5.3,6,50,6,13.6,0,1,0,0
24,1,0,3.1,2.6,1,8.0,1,40,2,8.5,0,0,0,1
24,1,0,8.6,6.1,2,8.0,8,57,0,8.2,1,0,0,0
60,0,0,4.8,7.5,6,4.8,1,46,2,6.1,1,0,0,0
45,0,1,10.7,2.4,1,5.5,1,54,6,7.1,0,1,0,0
40,0,1,6.7,1.8,3,4.6,2,10,1,10.9,0,0,1,0
45,2,1,4.3,6.1,6,6.5,9,23,2,4.2,0,0,0,1
44,0,0,10.0,1.8,2,8.3,8,60,1,2.5,0,1,0,0
47,1,0,3.4,3.3,4,7.0,6,25,2,10.2,0,1,0,0
21,2,1,5.0,5.6,8,6.1,9,13,1,13.6,0,1,0,0
59,0,0,2.6,0.5,8,8.8,8,44,1,3.4,1,0,0,0
59,0,1,3.1,4.9,8,7.3,1,59,2,10.0,1,0,0,0
24,2,1,10.6,7.3,10,4.7,1,18,2,8.8,0,1,0,0
21,0,1,7.3,2.6,8,8.5,8,15,1,5.4,0,0,0,1
43,2,0,4.3,3.2,1,7.9,9,30,5,9.7,1,0,0,0
39,2,1,5.3,5.9,6,5.3,3,11,0,12.1,0,0,1,0
24,1,1,3.1,2.9,5,8.1,3,56,4,9.5,0,0,1,0
33,2,0,4.9,3.7,4,4.8,3,29,5,4.1,0,1,0,0
30,0,0,2.7,2.4,7,4.8,5,26,3,14.0,0,0,1,0
30,1,1,3.4,3.1,10,4.8,4,58,4,7.0,0,0,1,0
52,0,1,11.7,4.8,7,5.5,8,15,2,6.6,0,1,0,0
46,2,1,1.6,6.8,1,7.6,9,59,1,4.4,0,0,0,1
26,0,1,2.6,7.7,4,4.6,7,39,3,12.5,0,1,0,0
45,0,0,7.2,4.1,6,6.0,6,29,2,2.5,0,0,0,1
29,2,0,7.6,4.0,6,7.3,3,51,4,3.7,0,0,0,1
35,2,0,10.1,7.6,2,7.6,2,12,2,2.0,0,0,1,0
47,1,1,2.9,4.8,3,7.7,3,54,4,6.1,1,0,0,0
33,1,1,3.6,6.2,5,9.0,4,36,0,12.0,0,1,0,0
22,1,1,11.0,3.4,10,8.9,4,55,2,9.4,0,0,0,1
46,1,0,4.4,2.5,6,5.5,7,11,1,13.7,1,0,0,0
53,1,0,1.1,6.8,5,4.5,8,36,0,4.8,0,0,1,0
24,0,1,10.1,5.2,8,4.8,6,48,0,11.5,1,0,0,0
21,1,0,9.3,2.7,8,7.2,2,23,3,12.7,0,1,0,0
59,2,0,10.9,7.2,9,7.6,10,43,3,2.3,0,0,1,0
52,2,1,9.5,1.7,3,6.6,3,41,5,3.0,0,0,0,1
18,1,1,6.9,4.3,8,6.6,10,41,3,3.5,0,1,0,0
23,1,1,10.4,5.9,5,6.8,2,13,6,8.9,1,0,0,0
33,0,0,2.9,6.3,8,4.2,8,38,6,9.9,1,0,0,0
28,0,0,1.8,7.0,2,4.8,7,21,3,7.1,0,0,0,1
44,2,1,3.3,0.7,5,7.2,3,59,5,5.3,0,1,0,0
49,1,1,10.6,5.3,1,5.2,4,58,1,6.1,0,0,1,0
48,0,1,2.0,5.8,10,7.9,10,37,6,9.0,0,0,1,0
31,1,1,11.9,6.1,2,7.5,2,40,0,5.0,0,0,0,1
43,0,1,8.4,5.6,4,7.8,7,34,5,5.2,1,0,0,0
21,1,1,5.3,2.8,8,8.1,4,19,3,13.7,0,1,0,0
28,1,0,8.5,2.5,5,7.2,9,7,3,6.2,1,0,0,0
42,2,0,9.0,3.8,10,5.2,5,31,4,3.7,0,1,0,0
18,2,0,5.6,3.3,8,4.7,10,35,6,6.3,1,0,0,0
42,2,0,5.6,7.6,5,4.3,6,13,6,11.4,0,0,1,0
34,1,1,5.4,0.6,8,6.9,5,12,4,9.0,0,0,1,0
47,1,0,10.0,3.5,3,6.7,5,8,6,2.5,0,1,0,0
36,1,1,10.7,6.8,6,7.0,1,35,5,3.1,1,0,0,0
45,1,1,3.2,0.9,1,4.0,2,55,4,5.4,0,0,0,1
53,2,1,9.0,7.6,10,8.4,8,13,2,10.5,0,0,1,0
60,0,1,6.2,2.0,3,6.1,3,29,1,3.5,1,0,0,0
49,2,1,8.6,5.5,7,6.0,2,15,1,8.7,1,0,0,0
27,2,0,2.4,1.5,6,8.3,3,19,5,6.9,0,0,0,1
30,1,1,7.9,7.0,5,8.1,9,18,6,10.8,1,0,0,0
36,2,0,8.5,3.4,3,7.9,1,5,2,11.0,1,0,0,0
31,1,1,8.8,1.7,4,4.6,9,59,5,2.4,0,0,0,1
21,1,0,6.4,3.6,7,6.4,3,55,5,8.9,0,0,1,0
55,0,1,10.8,1.0,2,4.3,10,44,5,11.0,0,0,0,1
52,0,1,7.4,7.3,9,7.3,1,27,1,12.5,0,0,0,1
21,0,1,7.8,1.1,3,5.1,1,38,6,5.5,0,0,1,0
38,2,1,1.4,1.8,2,8.5,9,52,5,11.4,0,0,0,1
21,1,0,11.4,0.6,3,8.0,8,15,0,7.8,1,0,0,0
21,1,0,6.1,5.0,1,5.9,3,59,0,7.7,0,1,0,0
55,1,0,11.5,6.1,5,8.3,9,27,1,6.2,0,0,0,1
48,0,1,7.4,1.3,3,4.2,3,14,5,14.0,0,0,1,0
50,1,1,2.0,5.6,8,7.0,8,59,6,8.8,0,0,1,0
51,2,0,5.6,6.9,3,7.2,8,33,4,4.2,1,0,0,0
28,1,0,10.6,7.6,4,7.5,3,41,0,11.5,0,1,0,0
21,1,1,8.8,6.7,7,6.5,10,34,6,5.6,0,0,0,1
50,2,1,8.3,3.0,5,4.7,10,49,3,13.5,0,0,0,1
23,1,0,4.2,1.0,6,6.3,9,18,5,8.7,0,0,1,0
29,2,1,1.5,3.4,2,6.1,9,52,0,13.7,0,0,0,1
22,2,0,10.9,6.6,7,5.2,6,14,2,6.4,0,0,0,1
56,2,1,11.5,6.6,5,7.0,10,5,2,8.5,0,1,0,0
22,2,0,7.9,5.6,1,5.4,1,48,3,4.9,1,0,0,0
33,2,0,6.0,1.4,4,8.4,10,21,4,4.6,0,0,1,0
43,2,1,6.2,2.3,6,4.3,10,49,1,8.7,0,1,0,0
25,0,1,4.4,1.2,3,7.6,10,57,1,4.4,0,1,0,0
54,1,1,5.0,7.9,3,4.6,8,46,2,11.7,0,0,1,0
33,1,0,7.8,1.5,5,5.2,7,29,0,8.2,0,0,1,0
55,1,0,9.7,1.0,2,8.5,10,14,4,5.7,0,0,0,1
56,0,1,9.0,5.2,7,7.2,8,60,0,10.2,1,0,0,0
20,0,1,4.9,7.9,3,4.3,10,21,5,4.1,0,1,0,0
57,2,0,6.2,3.5,6,7.7,5,31,3,13.6,0,0,1,0
23,1,1,2.5,6.4,7,8.1,5,42,6,13.1,0,0,0,1
44,2,1,11.5,7.2,6,8.4,6,22,2,12.1,1,0,0,0
60,0,0,1.1,4.4,3,9.0,7,46,5,12.2,1,0,0,0
55,2,1,4.4,3.4,3,6.9,7,48,6,9.7,0,1,0,0
54,1,1,5.0,0.9,4,4.4,1,37,3,6.3,1,0,0,0
51,0,0,6.9,3.9,6,7.8,9,55,4,2.8,0,0,0,1
38,0,0,1.5,2.4,8,7.3,1,45,1,10.2,0,0,1,0
34,1,1,7.6,1.9,5,7.5,7,54,5,12.6,0,1,0,0
31,0,1,7.1,1.5,5,6.6,1,13,0,12.9,1,0,0,0
60,1,0,9.4,1.7,1,7.3,3,57,0,9.9,0,0,1,0
38,0,0,6.3,1.7,7,5.3,2,50,4,8.3,1,0,0,0
33,2,1,4.3,6.8,4,4.2,7,35,6,6.6,0,0,0,1
34,1,0,11.3,3.4,3,8.0,10,56,0,4.6,0,0,0,1
43,1,1,2.6,6.5,7,6.8,1,47,0,2.6,1,0,0,0
26,2,1,11.1,5.4,7,8.4,4,39,2,13.5,0,0,0,1
60,0,0,10.5,2.0,2,7.9,3,49,5,7.2,1,0,0,0
59,0,1,6.4,6.5,1,6.1,9,58,3,7.5,0,0,1,0
37,1,1,2.4,6.4,6,6.4,8,54,6,7.2,1,0,0,0
47,2,0,10.9,6.8,4,8.7,8,52,1,4.9,0,0,1,0
38,0,0,6.4,7.4,9,7.6,10,15,3,9.3,0,0,1,0
22,1,0,5.3,7.5,8,4.2,9,26,1,2.0,0,1,0,0
18,1,1,1.7,5.9,3,4.8,6,15,0,10.8,0,1,0,0
47,2,1,5.4,4.6,5,4.3,4,27,2,6.3,1,0,0,0
57,0,1,5.2,1.5,10,5.3,2,32,3,4.0,1,0,0,0
54,0,1,3.7,7.8,3,5.5,8,39,2,13.8,1,0,0,0
24,1,1,11.5,6.2,2,4.8,8,6,4,10.3,0,1,0,0
22,0,1,5.6,3.1,9,7.9,7,47,4,5.6,0,1,0,0
52,0,0,4.3,3.9,9,8.9,4,6,5,9.0,0,0,0,1
31,1,0,3.3,3.6,6,4.8,8,57,2,2.0,0,1,0,0
50,1,0,5.1,3.1,8,5.7,1,50,2,11.6,0,0,1,0
34,0,0,5.2,5.1,6,6.7,4,42,5,3.0,0,0,1,0
26,2,1,10.8,4.1,9,5.6,5,55,2,12.7,1,0,0,0
40,1,0,3.8,3.1,6,5.1,5,23,3,6.6,0,0,0,1
